name,init_stack,init_heap
gcp_projects_suse-cloud_global_images_sles-15-sp5-v20250226-x86-64,none,none
gcp_projects_suse-cloud_global_images_sles-15-sp6-v20250409-x86-64,none,none
gcp_projects_suse-sap-cloud_global_images_sles-12-sp5-sap-v20250408-x86-64,unknown,unknown
gcp_projects_suse-sap-cloud_global_images_sles-15-sp3-sap-v20250408-x86-64,none,none
gcp_projects_suse-sap-cloud_global_images_sles-15-sp4-sap-v20250221-x86-64,none,none
gcp_projects_suse-sap-cloud_global_images_sles-15-sp5-sap-v20250408-x86-64,none,none
gcp_projects_suse-sap-cloud_global_images_sles-15-sp6-sap-v20250409-x86-64,none,none
gcp_projects_suse-sap-cloud_global_images_sles-sap-15-sp4-hardened-v20250411-x86-64,none,none
gcp_projects_suse-sap-cloud_global_images_sles-sap-15-sp5-hardened-v20250408-x86-64,none,none
gcp_projects_suse-sap-cloud_global_images_sles-sap-15-sp6-hardened-v20250409-x86-64,none,none
gcp_projects_ubuntu-os-accelerator-images_global_images_ubuntu-accelerator-2204-amd64-with-nvidia-550-v20250425,zero,zero
gcp_projects_ubuntu-os-accelerator-images_global_images_ubuntu-accelerator-2204-amd64-with-nvidia-570-v20250425,zero,zero
gcp_projects_ubuntu-os-accelerator-images_global_images_ubuntu-accelerator-2404-amd64-with-nvidia-550-v20250502a,zero,zero
gcp_projects_ubuntu-os-accelerator-images_global_images_ubuntu-accelerator-2404-amd64-with-nvidia-570-v20250502a,zero,zero
gcp_projects_ubuntu-os-cloud_global_images_ubuntu-2004-focal-v20250425,none,zero
gcp_projects_ubuntu-os-cloud_global_images_ubuntu-2204-jammy-v20250430,zero,zero
gcp_projects_ubuntu-os-cloud_global_images_ubuntu-2404-noble-amd64-v20250502a,zero,zero
gcp_projects_ubuntu-os-cloud_global_images_ubuntu-2410-oracular-amd64-v20250502,zero,zero
gcp_projects_ubuntu-os-cloud_global_images_ubuntu-2504-plucky-amd64-v20250424,zero,zero
